epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9481,2.25907,3.57207,2.04946,0.00083,0.25,0.00116,0.00012,4.35224,5.06677,4.9007,4e-05,4e-05,4e-05
2,27.46,1.74517,3.31627,1.80072,0.00333,1,0.03284,0.01772,2.16159,3.89012,2.21716,9.802e-05,9.802e-05,9.802e-05
3,42.361,0.8972,2.7034,1.21775,0.00333,1,0.65875,0.46113,1.09224,3.06401,1.2922,0.000153664,0.000153664,0.000153664
4,56.4132,0.60087,2.41219,1.06931,0.00333,1,0.995,0.88908,0.45778,2.781,0.94009,0.000206932,0.000206932,0.000206932
5,67.6021,0.63114,2.12485,1.04295,0.68842,1,0.995,0.8955,0.46219,2.33698,0.9326,0.000257824,0.000257824,0.000257824
6,78.7847,0.63667,1.51153,1.01189,0.96649,1,0.995,0.92854,0.37406,2.42779,0.88895,0.00030634,0.00030634,0.00030634
7,89.8259,0.44741,1.29167,0.9114,0.89181,1,0.995,0.9037,0.38016,2.51339,0.89638,0.00035248,0.00035248,0.00035248
8,101.393,0.48825,1.31653,0.94636,1,0.87587,0.995,0.88495,0.44327,2.38848,0.90939,0.000396244,0.000396244,0.000396244
9,112.702,0.56313,1.03033,0.88737,1,0.89535,0.995,0.84124,0.55554,2.47742,0.99434,0.000437632,0.000437632,0.000437632
10,124.061,0.58448,1.21127,0.96355,1,0.94982,0.995,0.89924,0.42049,2.49653,0.97175,0.000476644,0.000476644,0.000476644
11,135.066,0.55828,0.92045,0.89463,0.97259,1,0.995,0.92029,0.41478,2.406,0.9546,0.00051328,0.00051328,0.00051328
12,145.984,0.51977,0.95406,0.96528,0.97305,1,0.995,0.8955,0.44801,2.10516,0.95575,0.00054754,0.00054754,0.00054754
13,157.07,0.58006,0.85069,0.94401,0.96874,1,0.995,0.86011,0.4739,1.8896,0.93788,0.000579424,0.000579424,0.000579424
14,168.509,0.51856,0.98477,0.91375,0.93883,1,0.995,0.92854,0.43973,2.16639,0.92149,0.000608932,0.000608932,0.000608932
15,179.95,0.50588,0.79541,0.91477,0.97786,1,0.995,0.84559,0.57328,1.88672,0.97997,0.000636064,0.000636064,0.000636064
16,191.039,0.52747,0.84629,0.92851,0.97826,1,0.995,0.85806,0.56326,1.56931,0.99969,0.00066082,0.00066082,0.00066082
17,202.192,0.60365,0.95012,0.90293,0.98099,1,0.995,0.8955,0.47302,1.69109,0.94067,0.0006832,0.0006832,0.0006832
18,213.295,0.44095,0.79538,0.85382,0.97619,1,0.995,0.9037,0.4076,1.70914,0.90328,0.000703204,0.000703204,0.000703204
19,224.675,0.43358,0.93156,0.912,0.97255,1,0.995,0.8955,0.48196,1.70803,0.94396,0.000720832,0.000720832,0.000720832
20,236.344,0.62164,0.90064,0.97459,0.96051,1,0.995,0.9037,0.43731,1.81799,0.94455,0.000736084,0.000736084,0.000736084
21,248.025,0.47732,0.86907,0.91014,0.9326,1,0.995,0.92003,0.4093,1.84507,0.9229,0.00074896,0.00074896,0.00074896
22,259.47,0.40215,0.88255,0.81174,0.95852,1,0.995,0.92003,0.41797,1.48875,0.90521,0.00075946,0.00075946,0.00075946
23,271.009,0.4675,0.74719,0.84749,0.97712,1,0.995,0.87873,0.46371,1.27056,0.94983,0.000767584,0.000767584,0.000767584
24,282.541,0.49948,0.77706,0.8814,0.98672,1,0.995,0.88908,0.47838,1.1291,0.97071,0.000773332,0.000773332,0.000773332
25,294.778,0.56228,0.91657,0.96954,0.98773,1,0.995,0.90166,0.45787,1.14524,0.94386,0.000776704,0.000776704,0.000776704
26,308.49,0.39391,0.74912,0.87847,0.98706,1,0.995,0.8955,0.45333,1.14063,0.91389,0.0007777,0.0007777,0.0007777
27,323.374,0.45846,0.75014,0.91924,0.9846,1,0.995,0.8955,0.42733,1.14544,0.89412,0.00077632,0.00077632,0.00077632
28,338.83,0.45172,0.72967,0.8936,0.98567,1,0.995,0.90778,0.4846,1.02593,0.91048,0.000772564,0.000772564,0.000772564
29,353.582,0.46163,0.79531,0.95516,0.98567,1,0.995,0.90778,0.4846,1.02593,0.91048,0.000766432,0.000766432,0.000766432
30,367.948,0.68569,0.84571,0.99453,0.98412,1,0.995,0.95141,0.42373,1.12215,0.89561,0.000757924,0.000757924,0.000757924
31,379.995,0.48953,0.68476,0.89726,0.97932,1,0.995,0.93671,0.3931,1.22741,0.89221,0.00074704,0.00074704,0.00074704
32,394.455,0.47754,0.82641,0.9082,0.97846,1,0.995,0.92003,0.43847,1.18779,0.90638,0.00073378,0.00073378,0.00073378
33,406.399,0.49395,0.72786,0.87363,0.97846,1,0.995,0.92003,0.43847,1.18779,0.90638,0.000718144,0.000718144,0.000718144
34,418.384,0.37886,0.67021,0.87121,0.98574,1,0.995,0.8955,0.43993,1.0263,0.91127,0.0006932,0.0006932,0.0006932
35,430.383,0.42449,0.67973,0.8899,0.98838,1,0.995,0.8955,0.39863,0.84963,0.89294,0.0006536,0.0006536,0.0006536
36,442.074,0.36557,0.58475,0.86242,0.9889,1,0.995,0.90778,0.3623,0.84899,0.87989,0.000614,0.000614,0.000614
37,453.533,0.49042,0.67271,0.89265,0.9889,1,0.995,0.90778,0.3623,0.84899,0.87989,0.0005744,0.0005744,0.0005744
38,464.875,0.40558,0.58195,0.87436,0.98884,1,0.995,0.92003,0.34508,0.82289,0.87519,0.0005348,0.0005348,0.0005348
39,476.322,0.60362,1.6447,0.95901,0.98854,1,0.995,0.90166,0.3787,0.80423,0.88111,0.0004952,0.0004952,0.0004952
40,487.992,0.34744,0.52897,0.8649,0.98854,1,0.995,0.90166,0.39581,0.79729,0.88413,0.0004556,0.0004556,0.0004556
41,499.602,0.27302,0.81509,0.60165,0.98854,1,0.995,0.90166,0.39581,0.79729,0.88413,0.000416,0.000416,0.000416
42,510.924,0.31299,0.91099,0.80672,0.9889,1,0.995,0.90166,0.41608,0.80762,0.88686,0.0003764,0.0003764,0.0003764
43,522.453,0.32677,0.7634,0.77257,0.98927,1,0.995,0.90166,0.39489,0.82708,0.88162,0.0003368,0.0003368,0.0003368
44,534.171,0.26649,0.78287,0.81715,0.98927,1,0.995,0.93254,0.34531,0.84054,0.87184,0.0002972,0.0002972,0.0002972
45,546.161,0.41951,0.88844,0.75984,0.98927,1,0.995,0.93254,0.34531,0.84054,0.87184,0.0002576,0.0002576,0.0002576
46,558.386,0.24573,0.76821,0.67636,0.98877,1,0.995,0.93254,0.31093,0.85367,0.8639,0.000218,0.000218,0.000218
47,569.968,0.30007,0.80058,0.84393,0.98867,1,0.995,0.97003,0.30649,0.86727,0.86009,0.0001784,0.0001784,0.0001784
48,582.029,0.30084,1.59802,0.80137,0.98884,1,0.995,0.97003,0.29931,0.87831,0.85883,0.0001388,0.0001388,0.0001388
